time,power (W),cloudy
2014-11-01 11:00:00,,
2014-11-01 12:00:00,258056.83333333334,0.0
2014-11-01 13:00:00,256733.08333333334,0.0
2014-11-01 14:00:00,211958.33333333334,0.0
2014-11-02 11:00:00,214609.33333333334,0.0
2014-11-02 12:00:00,,0.0
2014-11-02 13:00:00,264711.6666666667,0.0
2014-11-02 14:00:00,214235.25,0.0
2014-11-03 11:00:00,62213.75,1.0
2014-11-03 12:00:00,24674.166666666668,
2014-11-03 13:00:00,19988.833333333332,1.0
2014-11-03 14:00:00,,1.0
2014-11-04 11:00:00,178302.08333333334,1.0
2014-11-04 12:00:00,178779.58333333334,1.0
2014-11-04 13:00:00,191248.5,0.0
2014-11-04 14:00:00,157144.41666666666,
2014-11-05 11:00:00,290787.5833333333,0.0
2014-11-05 12:00:00,292474.25,0.0
2014-11-05 13:00:00,265415.9166666667,
2014-11-05 14:00:00,,0.0
2014-11-06 11:00:00,287645.0,0.0
2014-11-06 12:00:00,,0.0
2014-11-06 13:00:00,256735.83333333334,0.0
2014-11-06 14:00:00,205123.66666666666,
2014-11-07 11:00:00,258159.91666666666,0.0
2014-11-07 12:00:00,282453.75,0.0
2014-11-07 13:00:00,245290.41666666666,0.0
2014-11-07 14:00:00,202631.0,0.0
2014-11-08 11:00:00,235032.33333333334,0.0
2014-11-08 12:00:00,281564.75,0.0
2014-11-08 13:00:00,,0.0
2014-11-08 14:00:00,220235.91666666666,0.0
2014-11-09 11:00:00,289480.6666666667,0.0
2014-11-09 12:00:00,278394.8333333333,0.0
2014-11-09 13:00:00,257775.91666666666,0.0
2014-11-09 14:00:00,216557.16666666666,0.0
2014-11-10 11:00:00,303760.25,0.0
2014-11-10 12:00:00,279556.8333333333,0.0
2014-11-10 13:00:00,234853.58333333334,0.0
2014-11-10 14:00:00,,0.0
2014-11-11 11:00:00,280601.8333333333,0.0
2014-11-11 12:00:00,278953.5,0.0
2014-11-11 13:00:00,256072.5,0.0
2014-11-11 14:00:00,214218.08333333334,0.0
2014-11-12 11:00:00,,0.0
2014-11-12 12:00:00,202328.5,0.0
2014-11-12 13:00:00,146937.41666666666,0.0
2014-11-12 14:00:00,81670.0,1.0
2014-11-13 11:00:00,,0.0
2014-11-13 12:00:00,251428.25,0.0
2014-11-13 13:00:00,257881.75,
2014-11-13 14:00:00,163396.16666666666,1.0
2014-11-14 11:00:00,289625.8333333333,0.0
2014-11-14 12:00:00,,0.0
2014-11-14 13:00:00,255959.41666666666,0.0
2014-11-14 14:00:00,213564.25,0.0
2014-11-15 11:00:00,281859.75,0.0
2014-11-15 12:00:00,,0.0
2014-11-15 13:00:00,251162.91666666666,0.0
2014-11-15 14:00:00,210407.83333333334,0.0
2014-11-16 11:00:00,268140.6666666667,0.0
2014-11-16 12:00:00,164807.41666666666,1.0
2014-11-16 13:00:00,,0.0
2014-11-16 14:00:00,143726.5,1.0
2014-11-17 11:00:00,257807.33333333334,0.0
2014-11-17 12:00:00,261035.83333333334,0.0
2014-11-17 13:00:00,133217.0,1.0
2014-11-17 14:00:00,116883.16666666667,1.0
2014-11-18 11:00:00,,1.0
2014-11-18 12:00:00,169971.58333333334,1.0
2014-11-18 13:00:00,224783.58333333334,0.0
2014-11-18 14:00:00,184294.33333333334,1.0
2014-11-19 11:00:00,252014.83333333334,0.0
2014-11-19 12:00:00,195922.5,0.0
2014-11-19 13:00:00,135994.0,1.0
2014-11-19 14:00:00,27251.333333333332,1.0
2014-11-20 11:00:00,,0.0
2014-11-20 12:00:00,279099.9166666667,0.0
2014-11-20 13:00:00,248555.5,0.0
2014-11-20 14:00:00,192750.0,
2014-11-21 11:00:00,290026.1666666667,
2014-11-21 12:00:00,273037.75,0.0
2014-11-21 13:00:00,238834.33333333334,0.0
2014-11-21 14:00:00,204010.83333333334,0.0
2014-11-22 11:00:00,,0.0
2014-11-22 12:00:00,276455.25,0.0
2014-11-22 13:00:00,256083.66666666666,0.0
2014-11-22 14:00:00,216460.66666666666,0.0
2014-11-23 11:00:00,290024.75,0.0
2014-11-23 12:00:00,,0.0
2014-11-23 13:00:00,259261.58333333334,0.0
2014-11-23 14:00:00,221520.83333333334,0.0
2014-11-24 11:00:00,298324.0,0.0
2014-11-24 12:00:00,,0.0
2014-11-24 13:00:00,261496.33333333334,0.0
2014-11-24 14:00:00,183211.5,0.0
2014-11-25 11:00:00,287184.25,0.0
2014-11-25 12:00:00,281105.0,0.0
2014-11-25 13:00:00,261001.25,0.0
2014-11-25 14:00:00,,
2014-11-26 11:00:00,236372.41666666666,
2014-11-26 12:00:00,240545.33333333334,0.0
2014-11-26 13:00:00,,1.0
2014-11-26 14:00:00,185327.16666666666,1.0
2014-11-27 11:00:00,291269.1666666667,0.0
2014-11-27 12:00:00,268891.3333333333,0.0
2014-11-27 13:00:00,233276.33333333334,0.0
2014-11-27 14:00:00,219093.08333333334,0.0
2014-11-28 11:00:00,169016.5,1.0
2014-11-28 12:00:00,,1.0
2014-11-28 13:00:00,104653.41666666667,1.0
2014-11-28 14:00:00,,1.0
2014-11-29 11:00:00,261857.83333333334,0.0
2014-11-29 12:00:00,,0.0
2014-11-29 13:00:00,270131.0,0.0
2014-11-29 14:00:00,,0.0
2014-11-30 11:00:00,281218.4166666667,0.0
2014-11-30 12:00:00,293515.1666666667,0.0
2014-11-30 13:00:00,267101.5833333333,0.0
2014-11-30 14:00:00,216757.5,0.0
